VisaClass|Category|SubCategory|Description
IR1|Immediate Relatives|General|Spouse of U.S. citizen 201(b)
IR2|Immediate Relatives|General|Child of U.S. citizen 201(b)
IR3|Immediate Relatives|General|Orphan adopted abroad by U.S. citizen 201(b)
IR4|Immediate Relatives|General|Orphan to be adopted in the United States by U.S. citizen 201(b)
IR5|Immediate Relatives|General|Parent of U.S. citizen at least 21 years of age 201(b)
IH3|Immediate Relatives|General|Child adopted abroad by U.S. citizen under Hague Convention
IH4|Immediate Relatives|General|Child to be adopted in U.S. by U.S. citizen under Hague Convention
CR1|Immediate Relatives|General|Spouse of U.S. citizen (conditional status) 201(b) & 216
CR2|Immediate Relatives|General|Child of U.S. citizen (conditional status) 201(b) & 216
IW1|Immediate Relatives|General|Certain spouses of deceased U.S. citizens 201(b)
IW2|Immediate Relatives|General|Child of IW-1 201(b)
IB1|Immediate Relatives|General|Self-petition spouse of U.S. citizen 204(a)(1)(A)(iii)
IB2|Immediate Relatives|General|Self-petition child of U.S. citizen 204(a)(1)(A)(iv)
IB3|Immediate Relatives|General|Child of IB-1 204(a)(1)(A)(iii)
VI5|Immediate Relatives|General|Parent of U.S. citizen who acquired permanent resident status under the
AM1|Vietnam Amerasian Immigrants|General|Vietnam Amerasian principal 584(b)(1)(A), (B),
AM2|Vietnam Amerasian Immigrants|General|Spouse/Child of AM-1
AM3|Vietnam Amerasian Immigrants|General|Natural mother of AM-1 (and spouse or child of such mother)
SB1|Special Immigrants|General|Returning resident 101(a)(27)(A)
SC1|Special Immigrants|General|Certain persons who lost U.S. citizenship by marriage 101(a)(27)(B) & 324(a)
SC2|Special Immigrants|General|Certain persons who lost U.S. citizenship by serving in foreign armed forces 101(a)(27)(B) & 327
SI1|Special Immigrants|General|Certain aliens employed by the U.S. Government in Iraq or Afghanistan as translators or interpreters
SI2|Special Immigrants|General|Spouse of SI-1 
SI3|Special Immigrants|General|Child of SI-1 
SM1|Special Immigrants|General|Alien recruited outside the United States who has served or is enlisted to serve in the U.S. Armed Forces for 12 years
SM2|Special Immigrants|General|Spouse of SM1 101(a)(27)(K)
