VisaClass|Description
A-1|Ambassador, public minister, career diplomat or consular officer, or immediate family 101(a)(15)(A)(i)
A-2|Other foreign government official or employee, or immediate family 101(a)(15)(A)(ii)
A-3|Attendant, servant, or personal employee of A1 or A2, or immediate family 101(a)(15)(A)(iii)
B-1|Temporary visitor for business 101(a)(15)(B)
B-1/B-2|Temporary visitor for business & pleasure 101(a)(15)(B)
B-1/B-2/BCC|Combination B-1/B-2 and Border Crossing Card 101(a)(15)(B)
B-1/B-2/BCV|Combination B-1/B-2 and Border Crossing Card (Lincoln Foil) 101(a)(15)(B)
B-2|Temporary visitor for pleasure 101(a)(15)(B)
C-1|Alien in transit 101(a)(15)(C)
C-1/D|Combined transit and crewmember visa 101(a)(15)(C) and (D)
C-2|Alien in transit to United Nations Headquarters district under Section 11.(3), (4), or (5) of the Headquarters Agreement 101(a)(15)(C)
C-3|Foreign government official, immediate family, attendant, servant or personal employee, in transit 212(d)(8)
CW-1|Commonwealth of Northern Mariana Islands transitional worker
CW-2|Spouse or child of CW-1 
D|Crewmember (sea or air) 101(a)(15)(D)
E-1|Treaty trader, spouse or child 101(a)(15)(E)(i)
E-2|Treaty investor, spouse or child 101(a)(15)(E)(ii)
E-2C|Commonwealth of Northern Mariana Islands investor, spouse or child 
E-3|Australian specialty occupation profession 101(a)(15)(E)(iii)
E-3D|Spouse of child of Australian specialty occupation professional 101(a)(15)(E)(iii)
E-3R|Returning Australian specialty occupation professional 101(a)(15)(E)(iii)
F-1|Student in an academic or language training program 101(a)(15)(F)(i)
F-2|Spouse or child of F1 101(a)(15)(F)(ii)
G-1|Principal resident representative of recognized foreign government to international organization, staff, or immediate family 101(a)(15)(G)(i)
G-2|Other representative of recognized foreign member government to 101(a)(15)(G)(ii) international organization, and immediate family
G-3|Representative of nonrecognized or nonmember foreign government to international organization, and immediate family 101(a)(15)(G)(iii)
G-4|International organization officer or employee, and immediate family 101(a)(15)(G)(iv)
G-5|Attendant, servant, or personal employee of G1 through G4, and immediate family 101(a)(15)(G)(v)
H-1B|Temporary worker of distinguished merit and ability performing services other than as a registered nurse 101(a)(15)(H)(i)(b)
H1B1|Free Trade Agreement Professional 101(a)(15)(H)(i)(b1)
H-1C|Shortage area nurse 101(a)(15)(H)(i)(c)
H-2A|Temporary worker performing agricultural services 101(a)(15)(H)(ii)(a)
H-2B|Temporary worker performing other services 101(a)(15)(H)(ii)(b)
H-3|Trainee 101(a)(15)(H)(iii)
H-4|Spouse or child of H-1B/B1/C, H-2A/B, or H–3 101(a)(15)(H)(iv)
I|Representative of foreign information media, spouse and children 101(a)(15)(I)
J-1|Exchange visitor 101(a)(15)(J)
J-2|Spouse or child of exchange visitor 101(a)(15)(J)
K-1|Fiance(e) of U. S. citizen 101(a)(15)(K)(i)
