Post,VisaClass,Quantity,VisaType,Year,Month
 abidjan, cr1,9,IV,2017,April
 abidjan, dv1,42,IV,2017,April
 abidjan, dv2,18,IV,2017,April
 abidjan, dv3,4,IV,2017,April
 abidjan, f11,5,IV,2017,April
 abidjan, f21,2,IV,2017,April
 abidjan, f22,3,IV,2017,April
 abidjan, f24,1,IV,2017,April
 abidjan, fx1,2,IV,2017,April
 abidjan, fx2,2,IV,2017,April
 abidjan, ir1,7,IV,2017,April
 abidjan, ir2,13,IV,2017,April
 abidjan, ir5,8,IV,2017,April
 abu dhabi, cr1,18,IV,2017,April
 abu dhabi, dv1,12,IV,2017,April
 abu dhabi, dv2,7,IV,2017,April
 abu dhabi, dv3,8,IV,2017,April
 abu dhabi, e11,1,IV,2017,April
 abu dhabi, e14,1,IV,2017,April
 abu dhabi, e21,3,IV,2017,April
 abu dhabi, e22,1,IV,2017,April
 abu dhabi, e23,2,IV,2017,April
 abu dhabi, e31,3,IV,2017,April
 abu dhabi, e34,1,IV,2017,April
 abu dhabi, f11,3,IV,2017,April
 abu dhabi, f12,1,IV,2017,April
 abu dhabi, f21,2,IV,2017,April
 abu dhabi, f24,10,IV,2017,April
 abu dhabi, f31,4,IV,2017,April
 abu dhabi, f32,4,IV,2017,April
 abu dhabi, f33,4,IV,2017,April
 abu dhabi, f41,33,IV,2017,April
 abu dhabi, f42,21,IV,2017,April
 abu dhabi, f43,31,IV,2017,April
 abu dhabi, fx1,8,IV,2017,April
 abu dhabi, i51,1,IV,2017,April
 abu dhabi, ir1,22,IV,2017,April
 abu dhabi, ir2,12,IV,2017,April
 abu dhabi, ir5,40,IV,2017,April
 abu dhabi, sb1,5,IV,2017,April
 abu dhabi, se1,1,IV,2017,April
 abu dhabi, se2,1,IV,2017,April
 abu dhabi, se3,1,IV,2017,April
 abu dhabi, sq1,1,IV,2017,April
 abu dhabi, sq2,1,IV,2017,April
 abu dhabi, sq3,4,IV,2017,April
 abu dhabi, t51,1,IV,2017,April
 accra, cr1,49,IV,2017,April
 accra, cr2,2,IV,2017,April
 accra, dv1,46,IV,2017,April
 accra, dv2,8,IV,2017,April
 accra, dv3,11,IV,2017,April
 accra, f11,21,IV,2017,April
 accra, f12,1,IV,2017,April
 accra, f21,9,IV,2017,April
 accra, f22,24,IV,2017,April
 accra, f23,4,IV,2017,April
 accra, f24,3,IV,2017,April
 accra, f41,12,IV,2017,April
 accra, f42,7,IV,2017,April
 accra, f43,14,IV,2017,April
 accra, fx1,13,IV,2017,April
 accra, fx2,29,IV,2017,April
 accra, fx3,15,IV,2017,April
 accra, ir1,48,IV,2017,April
 accra, ir2,102,IV,2017,April
