Post,VisaClass,Quantity,VisaType,Year,Month
 abidjan, cr1,7,IV,2018,November
 abidjan, dv1,1,IV,2018,November
 abidjan, f11,2,IV,2018,November
 abidjan, f21,1,IV,2018,November
 abidjan, f22,3,IV,2018,November
 abidjan, f24,1,IV,2018,November
 abidjan, fx1,1,IV,2018,November
 abidjan, fx2,1,IV,2018,November
 abidjan, ir1,4,IV,2018,November
 abidjan, ir2,17,IV,2018,November
 abidjan, ir5,13,IV,2018,November
 abidjan, sb1,1,IV,2018,November
 abidjan, se1,1,IV,2018,November
 abidjan, se2,1,IV,2018,November
 dhabi abu, cr1,9,IV,2018,November
 dhabi abu, cr2,1,IV,2018,November
 dhabi abu, dv1,5,IV,2018,November
 dhabi abu, dv2,2,IV,2018,November
 dhabi abu, dv3,2,IV,2018,November
 dhabi abu, e22,1,IV,2018,November
 dhabi abu, e23,2,IV,2018,November
 dhabi abu, e31,29,IV,2018,November
 dhabi abu, e34,22,IV,2018,November
 dhabi abu, e35,18,IV,2018,November
 dhabi abu, f11,4,IV,2018,November
 dhabi abu, f12,1,IV,2018,November
 dhabi abu, f21,1,IV,2018,November
 dhabi abu, f24,2,IV,2018,November
 dhabi abu, f31,7,IV,2018,November
 dhabi abu, f32,7,IV,2018,November
 dhabi abu, f33,10,IV,2018,November
 dhabi abu, f41,7,IV,2018,November
 dhabi abu, f42,4,IV,2018,November
 dhabi abu, f43,9,IV,2018,November
 dhabi abu, fx1,4,IV,2018,November
 dhabi abu, fx2,1,IV,2018,November
 dhabi abu, fx3,1,IV,2018,November
 dhabi abu, ir1,9,IV,2018,November
 dhabi abu, ir2,14,IV,2018,November
 dhabi abu, ir5,6,IV,2018,November
 dhabi abu, sq2,1,IV,2018,November
 accra, cr1,49,IV,2018,November
 accra, cr2,3,IV,2018,November
 accra, dv1,23,IV,2018,November
 accra, dv2,7,IV,2018,November
 accra, dv3,5,IV,2018,November
 accra, e31,10,IV,2018,November
 accra, e34,8,IV,2018,November
 accra, e35,14,IV,2018,November
 accra, f11,25,IV,2018,November
 accra, f12,10,IV,2018,November
 accra, f21,11,IV,2018,November
 accra, f22,19,IV,2018,November
 accra, f23,4,IV,2018,November
 accra, f24,3,IV,2018,November
 accra, f25,4,IV,2018,November
 accra, f31,5,IV,2018,November
 accra, f32,4,IV,2018,November
 accra, f33,7,IV,2018,November
 accra, f41,13,IV,2018,November
 accra, f42,6,IV,2018,November
 accra, f43,18,IV,2018,November
 accra, fx1,19,IV,2018,November
 accra, fx2,32,IV,2018,November
 accra, fx3,18,IV,2018,November
 accra, ib2,1,IV,2018,November
 accra, ib3,3,IV,2018,November
 accra, ir1,67,IV,2018,November
 accra, ir2,146,IV,2018,November
 accra, ir5,93,IV,2018,November
 accra, iw1,2,IV,2018,November
 accra, se1,1,IV,2018,November
 accra, se2,1,IV,2018,November
 ababa addis, cr1,57,IV,2018,November
 ababa addis, cr2,1,IV,2018,November
 ababa addis, dv1,155,IV,2018,November
 ababa addis, dv2,21,IV,2018,November
 ababa addis, dv3,38,IV,2018,November
 ababa addis, e21,1,IV,2018,November
 ababa addis, e22,1,IV,2018,November
 ababa addis, e23,3,IV,2018,November
 ababa addis, f11,7,IV,2018,November
 ababa addis, f12,3,IV,2018,November
 ababa addis, f21,27,IV,2018,November
 ababa addis, f22,31,IV,2018,November
 ababa addis, f24,5,IV,2018,November
 ababa addis, f25,2,IV,2018,November
 ababa addis, f31,1,IV,2018,November
 ababa addis, f32,2,IV,2018,November
 ababa addis, f33,6,IV,2018,November
 ababa addis, f41,8,IV,2018,November
 ababa addis, f42,3,IV,2018,November
 ababa addis, f43,11,IV,2018,November
 ababa addis, fx1,22,IV,2018,November
 ababa addis, fx2,39,IV,2018,November
 ababa addis, fx3,1,IV,2018,November
 ababa addis, ir1,42,IV,2018,November
 ababa addis, ir2,38,IV,2018,November
 ababa addis, ir5,60,IV,2018,November
 ababa addis, se1,1,IV,2018,November
 ababa addis, se2,2,IV,2018,November
 ababa addis, se3,9,IV,2018,November
 taipei ait, cr1,4,IV,2018,November
 taipei ait, dv1,3,IV,2018,November
 taipei ait, dv2,1,IV,2018,November
 taipei ait, dv3,2,IV,2018,November
 taipei ait, e21,5,IV,2018,November
 taipei ait, e22,5,IV,2018,November
 taipei ait, e23,3,IV,2018,November
 taipei ait, e32,2,IV,2018,November
 taipei ait, e34,1,IV,2018,November
 taipei ait, f11,1,IV,2018,November
 taipei ait, f21,1,IV,2018,November
 taipei ait, f24,1,IV,2018,November
 taipei ait, f31,6,IV,2018,November
 taipei ait, f32,5,IV,2018,November
